"Company Location","Job Functions","Employment Type","Industry","Company Name","position","Seniority Level"
"Skierniewice, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Powiatowy Urząd Pracy Skierniewicach","APARATOWY","Entry level",
"Skierniewice, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Powiatowy Urząd Pracy Skierniewicach","APARATOWY","Entry level",
"Krosno Odrzańskie, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Sąd Rejonowy w Krośnie Odrzańskim","Plan postępowań o udzielenie zamówień na 2018 rok powyżej 30 000 euro","Entry level",
"Krosno Odrzańskie, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Sąd Rejonowy w Krośnie Odrzańskim","Plan postępowań o udzielenie zamówień na 2018 rok powyżej 30 000 euro","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Performance Analyst","Associate",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Performance Analyst","Associate",
"Chojnice, PL","Other","Full-time","Banking Financial Services Investment Management","Moto Budrex Sp. z o.o.","Wulkanizator","Associate",
"Chojnice, PL","Other","Full-time","Banking Financial Services Investment Management","Moto Budrex Sp. z o.o.","Wulkanizator","Associate",
"Warsaw, PL","Other","Full-time","Banking Financial Services Investment Management","ODIN CONNECT Sp. z o.o.","Laminiarz Norwegia","Associate",
"Wrocław, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","ASTEK Polska: Tester Webowy","Entry level",
"Studzienice, PL","Other","Full-time","Information Technology & Services Computer Software Internet","FUNGHI-POL Sp. z o.o.","obieraczka pieczarek","Entry level",
"Wrocław, PL","Finance Sales","Full-time","Information Technology & Services Computer Software Internet","Wirginia Szymańska","Model Risk Analyst","Associate",
"Gdańsk, PL","Other","Full-time","Information Technology & Services Computer Software Internet",""MAGROL PRZEŁADUNEK" SP. Z O.O.","Spichrzowy","Associate",
"Warsaw, PL","Finance Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Corporate Actions Junior Specialist","Associate",
"Radom, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Paris Tobacco","Automatyk","Associate",
"Radom, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Paris Tobacco","Automatyk","Associate",
"Radom, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Paris Tobacco","Automatyk","Associate",
"Radom, PL","Other","Part-time","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","AARSH International Foodstuff Trading LLC","Virtual Assistant","Associate",
"Radom, PL","Other","Part-time","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","AARSH International Foodstuff Trading LLC","Virtual Assistant","Associate",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Hospital & Health Care","Mindbox","Junior Manual Tester Mindbox","Entry level",
"Reda, PL","Other","Full-time","Information Technology & Services Computer Software Hospital & Health Care","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Entry level",
"Reda, PL","Other","Full-time","Information Technology & Services Computer Software Hospital & Health Care","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Entry level",
"Rumia, PL","Other","Full-time","Information Technology & Services Computer Software Hospital & Health Care","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","TAP.TALENT","Management Board Assistant","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","TAP.TALENT","Management Board Assistant","Entry level",
"Opole, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Falck Medycyna Sp. z o.o.","Osoba sprzątająca","Entry level",
"Opole, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Falck Medycyna Sp. z o.o.","Osoba sprzątająca","Entry level",
"Płock, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Amatech","Programisty","Entry level",
"Płock, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","Amatech","Programisty","Entry level",
"Gdańsk, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","PaveksBud Sp. z o.o.","Zatrudnię Monterów","Entry level",
"Gdańsk, PL","Other","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","PaveksBud Sp. z o.o.","Zatrudnię Monterów","Entry level",
"Trzebownisko, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Delikatesy Centrum","Zatrudnię","Entry level",
"Gdańsk, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Gabinet Kosmetyczny NEMEZIS Barbara Jakubowska","Manicurzystka","Entry level",
"Gdańsk, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Gabinet Kosmetyczny NEMEZIS Barbara Jakubowska","Manicurzystka","Entry level",
"Piaseczno, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Warszawa","Entry level",
"Ząbki, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Warszawa","Entry level",
"Gdańsk, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Przedsiębiorstwo Handlowo Usługowe "Andbud"","Zbrojarz","Entry level",
"Łódź, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Powiatowy Urząd Pracy Łodzi ul. Milionowa","Czynności produkcyjne","Entry level",
"Lidzbark, PL","Other","Full-time","Staffing & Recruiting Retail Transportation/Trucking/Railroad",""SE-DA" Sp. z o.o.","SZWACZKA MASZYNOWA","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","Talentuno Poland","Data Analyst","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Specialist in Dealing Department","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Świetlica","Entry level",
"Kraków, PL","Other","Full-time","Banking Financial Services Investment Management","Kuratorium Oświaty w Krakowie","Świetlica","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Specialist in Reporting Team","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Specialist in Reporting Team","Entry level",
"Kraków, PL","Administrative","Full-time","Construction Management Consulting Financial Services","Turner & Townsend","Office Assistant / Secretary (m/f)","Entry level",
"Kraków, PL","Administrative","Full-time","Construction Management Consulting Financial Services","Turner & Townsend","Office Assistant / Secretary (m/f)","Entry level",
"Warsaw, PL","Information Technology","Full-time","Internet Insurance Hospital & Health Care","innogy Polska","Administrator Aplikacji @ Innogy Polska","Entry level",
"Warsaw, PL","Information Technology","Full-time","Internet Insurance Hospital & Health Care","innogy Polska","Administrator Aplikacji @ Innogy Polska","Entry level",
"Piastów, PL","Other","Full-time","Internet Insurance Hospital & Health Care","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piastów, PL","Other","Full-time","Internet Insurance Hospital & Health Care","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piaseczno, PL","Other","Full-time","Internet Insurance Hospital & Health Care","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Warząchewka Polska, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","PowerJobs Sp. z o.o.","Komisjoner","Entry level",
"Warząchewka Polska, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","PowerJobs Sp. z o.o.","Komisjoner","Entry level",
"Piaseczno, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Ząbki, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piastów, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Entry level",
"Ursynów, PL","Sales Business Development","Full-time","Information Technology & Services Insurance Accounting","REKRUTACJA","Magazynier / realizacja zamówień internetowych","Entry level",
"Lublin, PL","Other","Full-time","Information Technology & Services Insurance Accounting","IMPET PROFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Zbrojarz","Entry level",
"Gdynia, PL","Business Development Sales","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","ASTEK Polska: Business Analyst","Associate",
"Zawiercie, PL","Other","Full-time","Information Technology & Services Computer Software Internet","f.u.piotr","praca","Associate",
"Zawiercie, PL","Other","Full-time","Information Technology & Services Computer Software Internet","f.u.piotr","praca","Associate",
"Zawiercie, PL","Other","Full-time","Information Technology & Services Computer Software Internet","f.u.piotr","praca","Associate",
"Strzałkowo, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Powiatowy Urząd Pracy Słupcy","Szpachlarz","Associate",
"Strzałkowo, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Powiatowy Urząd Pracy Słupcy","Szpachlarz","Associate",
"Warsaw, PL","Information Technology","Contract","Information Technology & Services Computer Software Internet","SHIMI Sp. z o.o.","System Analyst","Entry level",
"Warsaw, PL","Information Technology","Contract","Information Technology & Services Computer Software Internet","SHIMI Sp. z o.o.","System Analyst","Entry level",
"Warsaw, PL","Finance Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Settlement Specialist","Entry level",
"Warsaw, PL","Finance Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Settlement Specialist","Entry level",
"Kożuchów, PL","Other","Full-time","Banking Financial Services Investment Management","Formel Beata Gieroń","SZUKAM OPIEKUNKI","Entry level",
"Kożuchów, PL","Other","Full-time","Banking Financial Services Investment Management","Formel Beata Gieroń","SZUKAM OPIEKUNKI","Entry level",
"Warsaw, PL","Other","Full-time","Medical Practice","Instytut Hematologii i Transfuzjologii","Salowa","Entry level",
"Warsaw, PL","Other","Full-time","Medical Practice","Instytut Hematologii i Transfuzjologii","Salowa","Entry level",
"Łódź, PL","Other","Full-time","Real Estate Leisure, Travel & Tourism Hospitality","VIENNA HOUSE ANDEL’S ŁÓDŹ","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kucharz (K/M)","Entry level",
"Łódź, PL","Other","Full-time","Real Estate Leisure, Travel & Tourism Hospitality","VIENNA HOUSE ANDEL’S ŁÓDŹ","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kucharz (K/M)","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Specialist in Asset Creation team","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Specialist in Asset Creation team","Entry level",
"Warsaw, PL","Information Technology","Full-time","Internet Insurance Hospital & Health Care","innogy Polska","Administrator Aplikacji Innogy Polska","Entry level",
"Ursynów, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","patryk","Praca praca","Entry level",
"Ursynów, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","patryk","Praca praca","Entry level",
"Warząchewka Polska, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","PowerJobs Sp. z o.o.","Komisjoner","Entry level",
"Łódź, PL","Engineering Information Technology","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Inwedo Sp. z o. o.","Junior Back-End Developer","Entry level",
"Warsaw, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","ODIN CONNECT Sp. z o.o.","Laminiarz Norwegia","Entry level",
"Wronki, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","MARCIN MARSZAŁEK PRZEDSIĘBIORSTWO DROGOWE "DROMAR BIS"","Brukarz","Entry level",
"Sopot, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Gdansk","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Gdansk","Entry level",
"Jelenia Góra, PL","Management Manufacturing","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","WMWORK SP. Z O.O","kucharz","Entry level",
"Kraków, PL","Information Technology","Full-time","Information Technology & Services Computer & Network Security Management Consulting","KUBO","Monitoring Lead","Entry level",
"Kraków, PL","Information Technology","Full-time","Information Technology & Services Computer & Network Security Management Consulting","KUBO","Monitoring Lead","Entry level",
"Warsaw, PL","Project Management Information Technology","Full-time","Information Technology & Services Computer & Network Security Management Consulting","DDB Warszawa Sp z o.o.","Chief Project Manager","Director",
"Warsaw, PL","Project Management Information Technology","Full-time","Information Technology & Services Computer & Network Security Management Consulting","DDB Warszawa Sp z o.o.","Chief Project Manager","Director",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Rzeszów, PL","Management Manufacturing","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","GRH Polska","Process technologist","Associate",
"Rzeszów, PL","Management Manufacturing","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","GRH Polska","Process technologist","Associate",
"Sława, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Usługi elektryczne","Zatrudnię murarza","Associate",
"Sława, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Usługi elektryczne","Zatrudnię murarza","Associate",
"Mąchocice, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","P.P.H.U. " REMI", Mąchocice Kapitulne 91, Masłów","SZWACZKA","Associate",
"Mąchocice, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","P.P.H.U. " REMI", Mąchocice Kapitulne 91, Masłów","SZWACZKA","Associate",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad Sp. z o.o.","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Rumia, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdynia","Entry level",
"Reda, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdynia","Entry level",
"Sopot, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Sędziszów, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Odlewnia Żeliwa ŻANETA Tomasz Nowakowski","ZALEWACZ FORM","Entry level",
"Grodzisk Mazowiecki, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Brukarz Jacek","Zatrudnie Brukarza","Entry level",
"Łódź, PL","Management Manufacturing","Full-time","Financial Services","Nordea Bank Abp SA Oddział w Polsce","Junior Process Officer","Entry level",
"Goleniów, PL","Information Technology","Full-time","Computer Hardware Computer Networking Computer & Network Security","Warwick GmbH & Co.Music Equipment KG","System Administrator","Associate",
"Kraków, PL","Business Development Sales","Full-time","Staffing & Recruiting Human Resources Insurance","HRO Digital","Business Analyst","Associate",
"Gdynia, PL","Other","Full-time","Staffing & Recruiting Human Resources Insurance","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Associate",
"Gdynia, PL","Other","Full-time","Staffing & Recruiting Human Resources Insurance","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Associate",
"Rumia, PL","Other","Full-time","Staffing & Recruiting Human Resources Insurance","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Associate",
"Kraków, PL","Other","Full-time","Staffing & Recruiting Human Resources Insurance","EuropaJOB Sp. z o.o.","Opiekunka do Pani, Niemcy, Kassel, od zaraz na 2 msc. 1500 euro + premia","Associate",
"Kraków, PL","Other","Full-time","Staffing & Recruiting Human Resources Insurance","EuropaJOB Sp. z o.o.","Opiekunka do Pani, Niemcy, Kassel, od zaraz na 2 msc. 1500 euro + premia","Associate",
"Warsaw, PL","Research Analyst Information Technology","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Graduate Programme in Fund Industry","Entry level",
"Warsaw, PL","Research Analyst Information Technology","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Graduate Programme in Fund Industry","Entry level",
"Biesiekierz, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","Gminne Służby Techniczne i Komunalne","stanowisko referent","Entry level",
"Biesiekierz, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","Gminne Służby Techniczne i Komunalne","stanowisko referent","Entry level",
"Ząbki, PL","Other","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Entry level",
"Piaseczno, PL","Other","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Entry level",
"Piaseczno, PL","Other","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Management Consulting Financial Services","McKinsey & Company","Data Analyst @ Mckinsey & Company","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Management Consulting Financial Services","McKinsey & Company","Data Analyst @ Mckinsey & Company","Entry level",
"Kożmice Małe, PL","Other","Full-time","Information Technology & Services Management Consulting Financial Services","„ROKAM II" RADOSŁAW ROSIŃSKI KOŹMICE 14, 57-200 ZĄBKOWICE ŚLĄSKIE","BRUKARZ","Entry level",
"Kożmice Małe, PL","Other","Full-time","Information Technology & Services Management Consulting Financial Services","„ROKAM II" RADOSŁAW ROSIŃSKI KOŹMICE 14, 57-200 ZĄBKOWICE ŚLĄSKIE","BRUKARZ","Entry level",
"Wrocław, PL","Project Management Information Technology","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Diehl","Project Manager","Entry level",
"Wrocław, PL","Project Management Information Technology","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Diehl","Project Manager","Entry level",
"Kraków, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kędzierzyn-Koźle, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","ANWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","KUCHARZ","Entry level",
"Olsztyn, PL","Information Technology","Contract","Information Technology & Services Computer Software Staffing & Recruiting","CGI","Deployment Consultant","Associate",
"Warsaw, PL","Accounting/Auditing Finance","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Reconciliation Specialist","Entry level",
"Boleszyn, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","ZOOTECHNIK","Entry level",
"Lublin, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","BRUKARZ","Entry level",
"Łozienica, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","SZKUTNIK","Entry level",
"Lublin, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","ŻAŁOBNIK","Entry level",
"Lublin, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","ŻAŁOBNIK","Entry level",
"Wola, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","SZWACZKA","Entry level",
"Wola, PL","Other","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","SZWACZKA","Entry level",
"Warsaw, PL","Customer Service Information Technology","Full-time","Banking Financial Services Investment Management","HUGO.legal","Customer Support Specialist","Entry level",
"Warsaw, PL","Customer Service Information Technology","Full-time","Banking Financial Services Investment Management","HUGO.legal","Customer Support Specialist","Entry level",
"Jaworze, PL","Other","Full-time","Banking Financial Services Investment Management","Beskidzki Zespół Leczniczo-Rehabilitacyjny","Salowa","Entry level",
"Jaworze, PL","Other","Full-time","Banking Financial Services Investment Management","Beskidzki Zespół Leczniczo-Rehabilitacyjny","Salowa","Entry level",
"Legnica, PL","Management Manufacturing","Internship","Electrical & Electronic Manufacturing Automotive Mechanical Or Industrial Engineering","Mercedes Benz","Junior Production Engineer/ Production Engineer - internal recruitment","Entry level",
"Kąty Wrocławskie, PL","Management Manufacturing","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Wabtec","Warehouse worker","Entry level",
"Kąty Wrocławskie, PL","Management Manufacturing","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Wabtec","Warehouse worker","Entry level",
"Gdynia, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Entry level",
"Gdynia, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Entry level",
"Rumia, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Entry level",
"Witomino, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Takeaway.com","Praca w weekendy - Dostarczaj z jedzenia Gdynia","Entry level",
"Witomino, PL","Other","Full-time","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Takeaway.com","Praca w weekendy - Dostarczaj z jedzenia Gdynia","Entry level",
"Wrocław, PL","Information Technology","Full-time","Staffing & Recruiting Law Practice Financial Services","TAP.TALENT","Technical Support Coordinator","Entry level",
"Wrocław, PL","Information Technology","Full-time","Staffing & Recruiting Law Practice Financial Services","TAP.TALENT","Technical Support Coordinator","Entry level",
"Chorzów, PL","Engineering","Full-time","Management Consulting","Moltton Poland","Documentation Manager","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","British American Tobacco","British American Tobacco: Devops Manager","Associate",
"Banino, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","BAŁD-RWIK Sp. z o.o.","Hydraulik","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Pricing Specialist","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Pricing Specialist","Entry level",
"Wrocław, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","lento.pl","Opieka nad starszą Panią Wrocław","Entry level",
"Wrocław, PL","Human Resources","Full-time","Restaurants Food & Beverages Hospital & Health Care","Walter-Fach-Kraft","Rekruter/ka start zaraz we Wrocławiu","Associate",
"Jaworzno, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","Garbarnia Szczakowa S.A.","Automatyk - elektronik","Associate",
"Jaworzno, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","Garbarnia Szczakowa S.A.","Automatyk - elektronik","Associate",
"Warsaw, PL","Finance Sales","Full-time","Restaurants Food & Beverages Hospital & Health Care","KRAKEN BITCOIN EXCHANGE","Compliance Research Associate","Entry level",
"Warsaw, PL","Finance Sales","Full-time","Restaurants Food & Beverages Hospital & Health Care","KRAKEN BITCOIN EXCHANGE","Compliance Research Associate","Entry level",
"Warsaw, PL","Information Technology","Full-time","Restaurants Food & Beverages Hospital & Health Care","SCS Expert Sp. zo.o.","Data Analyst","Entry level",
"Sopot, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdansk","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdansk","Entry level",
"Warsaw, PL","Engineering Information Technology","Full-time","Restaurants Food & Beverages Hospital & Health Care","Softwarely","Data Scientist","Entry level",
"Warsaw, PL","Engineering Information Technology","Full-time","Restaurants Food & Beverages Hospital & Health Care","Softwarely","Data Scientist","Entry level",
"Bielsko-Biala, PL","Information Technology","Full-time","Information Technology & Services Computer Software Automotive","Business Development Partner","Junior Technical Support","Entry level",
"Bielsko-Biala, PL","Information Technology","Full-time","Information Technology & Services Computer Software Automotive","Business Development Partner","Junior Technical Support","Entry level",
"Gdańsk, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","Talentuno Poland","Data Scientist","Entry level",
"Tarnowskie Góry, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Vintal","Twoja propozycja","Entry level",
"Tarnowskie Góry, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Vintal","Twoja propozycja","Entry level",
