,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
7669,Full-time,Senior,Mobile Developer,"Agile Software Development, Desktop Applications, Mobile Application",11–50 people,Private,None,None,"Köln,Deutschland","['android', 'kotlin', 'java', 'git', 'jenkins']",0.0,0.0,,,,
7671,Full-time,None,Designer,None,None,None,None,None,"Bengaluru,India","['javascript', 'xml', 'design']",0.0,0.0,,,,
7672,Full-time,"Mid-Level, Senior","Frontend Developer, Full Stack Developer","Automation, Computer Vision, Software Development / Engineering",51–200 people,Private,None,None,"Hamburg,Deutschland","['c#', 'asp.net', 'typescript', 'vue.js', 'docker']",0.0,0.0,,,,
7673,Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"SahibzadaAjitSinghNagar,India","['reactjs', 'rest', 'android']",0.0,0.0,,,,
7674,Full-time,"Lead, Manager",DevOps,Real Estate,51–200 people,Private,None,None,"Berlin,Germany","['amazon-web-services', 'cloud', 'saas']",0.0,0.0,,,,
7675,Full-time,None,QA/Test Developer,None,None,None,None,None,"Bengaluru,India","['qa', 'automation', 'selenium']",0.0,0.0,,,,
7676,Full-time,Lead,Backend Developer,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['php', 'symfony2', 'agile']",0.0,0.0,,,,
7687,Full-time,"Junior, Mid-Level, Senior",Data Scientist,"Automotive, Aviation, Telecommunications",1k–5k people,Public,None,None,"Aachen,Deutschland","['data-modeling', 'amazon-web-services', 'data-mining', 'scala', 'machine-learning']",0.0,0.0,,,,
7693,Full-time,"Mid-Level, Senior",Backend Developer,"Data & Analytics, Machine Learning, SaaS",1–10 people,Private,$100k - 135k (US Dollars),None,"Lehi,UT","['python', 'django', 'google-cloud-platform', 'postgresql']",100000.0,135000.0,$,92592.59259259258,124999.99999999999,
7694,Full-time,None,Mobile Developer,None,None,None,None,None,"ShinagawaCity,Japan","['objective-c', 'ios', 'swift']",0.0,0.0,,,,
7696,Full-time,"Mid-Level, Senior",Full Stack Developer,"Agile Software Development, eCommerce, Mobile Development",1k–5k people,Public,None,None,"Köln,Deutschland","['java', 'reactjs', 'amazon-web-services', 'javascript', 'maven']",0.0,0.0,,,,
7698,Full-time,None,Mobile Developer,None,None,None,None,None,"Mumbai,India","['reactjs', 'javascript', 'ios']",0.0,0.0,,,,
7699,Full-time,Mid-Level,Full Stack Developer,"Gambling, Gaming, Software Development / Engineering",1k–5k people,Public,NZD 66k - 85k (New Zealand Dollar),None,"Wellington,NewZealand","['java', 'java-ee', 'xml', 'tomcat']",66000.0,85000.0,NZD,,,
7700,Full-time,"Mid-Level, Senior, Lead","Backend Developer, DevOps","Machine Learning, Mobile Development, Telematics",51–200 people,VC Funded,None,On-siteandlimitedremote,"Boston,MA",[],0.0,0.0,,,,
7701,Full-time,Mid-Level,Backend Developer,"Consulting, Information Technology, IT Consulting",10k+ people,Private,None,None,"MiltonKeynes,UK","['azure', 'rest', 'azure-devops', 'api']",0.0,0.0,,,,
7702,Full-time,None,Data Scientist,None,None,None,None,None,"Bengaluru,India","['apache-spark', 'machine-learning', 'algorithm']",0.0,0.0,,,,
7704,Full-time,None,Mobile Developer,None,None,None,None,None,"Zirakpur,India","['android', 'java', 'mobile']",0.0,0.0,,,,
7705,Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['angularjs', 'php', 'css']",0.0,0.0,,,,
7706,Full-time,"Mid-Level, Senior","DevOps, System Administrator","Information Technology, Web Technology",1k–5k people,Public,None,None,"London,UK","['security', 'devops', 'firewall', 'application-security', 'amazon-web-services']",0.0,0.0,,,,
7707,Full-time,"Senior, Lead, Manager",Backend Developer,"Agile Software Development, Autonomous Driving, Robotics",11–50 people,Private,None,None,"Karlsruhe,Deutschland","['c++', 'linux', 'qt', 'oop', 'scrum']",0.0,0.0,,,,
7708,Full-time,None,DevOps,"Computer Software, Data & Analytics",1k–5k people,Private,None,None,"Seattle,WA","['java', 'amazon-web-services', 'go', 'kubernetes', 'terraform']",0.0,0.0,,,,
7709,Full-time,None,"DevOps, System Administrator",None,None,None,None,None,"ShinagawaCity,Japan","['php', 'elasticsearch', 'nginx']",0.0,0.0,,,,
7712,Full-time,"Junior, Mid-Level, Senior",Desktop Developer,"Network Monitoring Software, Software Development",201–500 people,Private,None,None,"Nürnberg,Deutschland","['c++', 'c#', 'delphi']",0.0,0.0,,,,
7713,Full-time,"Mid-Level, Senior, Lead",QA/Test Developer,"IT Consulting, Mobile, Mobile Development",201–500 people,Private,None,None,"Amsterdam,Netherlands","['qa', 'testing', 'automated-tests', 'junit', 'selenium']",0.0,0.0,,,,
7717,Full-time,Mid-Level,Mobile Developer,"Big Data, Telecommunications",201–500 people,Private,None,None,"Bellevue,WA","['ios', 'android', 'objective-c']",0.0,0.0,,,,
7718,Full-time,Senior,Backend Developer,Energy & Utilities,5k–10k people,Private,$90k - 130k (US Dollars),None,"Camden,NJ","['docker', 'containers', 'kubernetes', 'api', 'microservices']",90000.0,130000.0,$,83333.33333333333,120370.37037037036,
7719,Full-time,None,Full Stack Developer,None,None,None,None,None,"Coimbatore,India","['node.js', 'php', 'javascript']",0.0,0.0,,,,
7721,Full-time,None,Database Administrator,None,None,None,None,None,"Saitama,Japan","['linux', 'oracle', 'sql']",0.0,0.0,,,,
7723,Full-time,None,Frontend Developer,None,None,None,None,None,"Kochi,India","['mysql', 'jquery', 'php']",0.0,0.0,,,,
7725,Full-time,"Junior, Mid-Level",Backend Developer,"Automotive, Internet of Things, Software Development / Engineering",51–200 people,Private,None,None,"München,Deutschland","['integration', 'linux', 'ethernet']",0.0,0.0,,,,
7727,Full-time,None,Database Administrator,None,None,None,None,None,"Kitakyushu,Japan","['c#', 'oracle', 'c']",0.0,0.0,,,,
7729,Full-time,Senior,Backend Developer,"Banking, Finance, Financial Technology",1k–5k people,None,None,None,"FrankfurtamMain,Deutschland","['java', 'java-ee', 'hibernate', 'spring', 'plsql']",0.0,0.0,,,,
7730,Full-time,"Mid-Level, Senior",Frontend Developer,"Financial Services, Financial Technology",51–200 people,Private,None,None,"Berlin,Deutschland","['javascript', 'web-services', 'user-interface', 'html', 'css']",0.0,0.0,,,,
7731,Internship,Student,Product Manager,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['product-management', 'jira', 'ab-testing', 'kpi', 'project-management']",0.0,0.0,,,,
7732,Full-time,"Mid-Level, Senior",Backend Developer,"Consulting, Industrial Automation, Software Development / Engineering",201–500 people,Public,None,None,"Bern,Switzerland","['java', 'hibernate', 'rest', 'spring', 'node.js']",0.0,0.0,,,,
7733,Full-time,Senior,DevOps,"Computer Software, Digital Marketing, Online Media",201–500 people,Private,None,None,"Munich,Germany","['python', 'node.js', 'java', 'git', 'devops']",0.0,0.0,,,,
7734,Full-time,"Mid-Level, Senior",Mobile Developer,"Entertainment, News, Social Networking",201–500 people,VC Funded,None,None,"SanFrancisco,CA","['android', 'java', 'mobile', 'kotlin']",0.0,0.0,,,,
7736,Full-time,Senior,Backend Developer,"Gambling, Gaming, Information Technology",201–500 people,Private,None,None,"Kraków,Poland","['java', 'scala']",0.0,0.0,,,,
7739,Full-time,"Mid-Level, Senior",Embedded Developer,"Cloud Services, Embedded, Internet of Things",11–50 people,Private,None,On-siteandlimitedremote,"Amsterdam,Netherlands",[],0.0,0.0,,,,
7741,Full-time,"Mid-Level, Senior",QA/Test Developer,Internet Classifieds,201–500 people,Private,€32k - 40k (Euros),None,"Milano,Italy","['html', 'css', 'php', 'java', 'python']",32000.0,40000.0,€,32000.0,40000.0,
7749,Full-time,Mid-Level,Data Scientist,"AI Research, Consumer Electronics, Telecommunications",10k+ people,Private,None,None,"Staines-upon-Thames,UK","['machine-learning', 'python', 'java', 'semantic-web', 'nlp']",0.0,0.0,,,,
7750,Full-time,Mid-Level,Frontend Developer,Software Development,51–200 people,Private,None,On-siteandlimitedremote,"Portland,OR",[],0.0,0.0,,,,
7753,Full-time,"Mid-Level, Senior",Full Stack Developer,"Agile Software Development, Computer Software, eCommerce",1–10 people,Private,None,Remote,Noofficelocation,"['php', 'html', 'css', 'javascript', 'lamp']",0.0,0.0,,,,
7754,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['objective-c', 'ruby-on-rails', 'ios']",0.0,0.0,,,,
7755,Full-time,"Mid-Level, Senior",Mobile Developer,None,None,None,$90k - 150k (US Dollars),None,"Austin,TX","['reactjs', 'javascript', 'python', 'kubernetes', 'docker']",90000.0,150000.0,$,83333.33333333333,138888.88888888888,
7759,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['java', 'android', 'jenkins']",0.0,0.0,,,,
7760,Full-time,Senior,"Designer, Frontend Developer","Cloud-Based Solutions, HR Services, Software Development",201–500 people,VC Funded,None,None,"Madrid,Spain","['reactjs', 'user-experience', 'user-interface', 'react-redux']",0.0,0.0,,,,
7762,Full-time,"Mid-Level, Senior",Embedded Developer,"Hardware Development, Manufacturing, Software Development / Engineering",201–500 people,Private,€34k - 48k (Euros),None,"Praha12,Czechia","['c++', 'embedded', 'linux', 'git', 'c']",34000.0,48000.0,€,34000.0,48000.0,
7766,Full-time,None,System Administrator,"IT Consulting, IT Recruitment, IT Security",10k+ people,Public,€40k - 70k (Euros),None,"Berlin,Deutschland","['windows', 'linux', 'unix', 'apache', 'tomcat', 'sysadmin']",40000.0,70000.0,€,40000.0,70000.0,
7769,Full-time,Senior,Frontend Developer,"Ad Tech, Gaming, Publishing",501–1k people,Private,None,None,"Schiphol-Rijk,Netherlands","['javascript', 'reactjs', 'vue.js', 'css']",0.0,0.0,,,,
7771,Full-time,Mid-Level,Full Stack Developer,"E-Commerce, Healthcare",201–500 people,Private,None,None,"Mannheim,Deutschland","['php', 'wordpress', 'symfony']",0.0,0.0,,,,
7772,Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['automation', 'ansible', 'linux']",0.0,0.0,,,,
7775,Full-time,"Mid-Level, Senior, Lead",Frontend Developer,"Information Technology, Internet Infrastructure",201–500 people,Private,None,On-siteandlimitedremote,"Böblingen,Deutschland",[],0.0,0.0,,,,
7778,Full-time,"Mid-Level, Senior",Full Stack Developer,"Agile Software Development, Business Intelligence, IT Consulting",501–1k people,Private,None,None,"Bern,Schweiz","['java', 'maven', 'gradle', 'scrum', 'kanban']",0.0,0.0,,,,
7780,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'ios', 'windows']",0.0,0.0,,,,
7782,Full-time,"Mid-Level, Senior",Full Stack Developer,"Agile Software Development, Data Science, Software Development / Engineering",501–1k people,Public,€50k - 70k (Euros),None,"FrankfurtamMain,Deutschland","['javascript', 'java', 'angularjs', 'azure-devops', 'aurelia']",50000.0,70000.0,€,50000.0,70000.0,
7783,Full-time,Mid-Level,Data Scientist,Internet Marketing,501–1k people,Private,None,None,"Monterey,CA","['r', 'machine-learning', 'python', 'sql']",0.0,0.0,,,,
7785,Full-time,None,Frontend Developer,None,None,None,None,None,"Osaka,Japan","['amazon-web-services', 'jquery']",0.0,0.0,,,,
7786,Full-time,"Junior, Mid-Level",DevOps,"Consulting, DevOps, Project Management",1–10 people,Private,€50k - 75k (Euros),None,"Düsseldorf,Deutschland","['amazon-web-services', 'azure', 'jenkins', 'ansible', 'docker']",50000.0,75000.0,€,50000.0,75000.0,
7787,Full-time,Mid-Level,Full Stack Developer,"Financial Services, Financial Technology",11–50 people,Private,$70k - 110k (US Dollars),None,"Cleveland,OH","['php', 'sql', 'python', 'laravel', 'reactjs']",70000.0,110000.0,$,64814.81481481481,101851.85185185184,
7789,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'reactjs', 'oop']",0.0,0.0,,,,
7790,Full-time,"Mid-Level, Senior, Lead","DevOps, System Administrator","B2B, HR Services, SaaS",201–500 people,VC Funded,None,None,"København,Denmark","['postgresql', 'terraform', 'amazon-web-services', 'docker', 'sysadmin']",0.0,0.0,,,,
7792,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'java', 'c']",0.0,0.0,,,,
7794,Full-time,Senior,Product Manager,"Ad Tech, Mobile, Mobile Game",51–200 people,Private,None,None,"Paris,France","['project-management', 'product']",0.0,0.0,,,,
7795,Full-time,None,Database Administrator,None,None,None,None,None,"中央区,Japan","['unix', 'oracle', 'linux']",0.0,0.0,,,,
7797,Full-time,"Junior, Mid-Level, Senior","Frontend Developer, Full Stack Developer","Cloud Services, Education Technology",11–50 people,Private,None,None,"Hägersten,Sweden","['python', 'javascript', 'google-app-engine', 'google-cloud-platform', 'vue.js']",0.0,0.0,,,,
7798,Full-time,None,QA/Test Developer,None,None,None,None,None,"Indore,India","['php', 'testing', 'mysql']",0.0,0.0,,,,
7800,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'reactjs', 'mobile']",0.0,0.0,,,,
7801,Full-time,Senior,"Backend Developer, DevOps","eLearning, Language Learning Software, Mobile Application",501–1k people,Private,None,None,"Berlin,Germany","['amazon-web-services', 'go', 'api', 'ruby', 'ruby-on-rails']",0.0,0.0,,,,
7805,Full-time,"Junior, Mid-Level, Senior",Embedded Developer,"IPTV, Telecommunications, Video Streaming",51–200 people,Private,€40k - 70k (Euros),None,"Oslo,Norway","['c++', 'python', 'git', 'embedded-linux', 'video']",40000.0,70000.0,€,40000.0,70000.0,
7806,Full-time,"Mid-Level, Senior",Data Scientist,Real Estate,51–200 people,VC Funded,None,None,"Berlin,Germany","['python', 'apache-spark', 'luigi', 'postgresql', 'docker']",0.0,0.0,,,,
7808,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['reactjs', 'javascript', 'node.js']",0.0,0.0,,,,
7809,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Data & Analytics, Food & Beverage, Software Development / Engineering",1k–5k people,Private,None,None,"Pécs,Hungary","['reactjs', 'angularjs', 'c#', 'agile']",0.0,0.0,,,,
7810,Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['android', 'java', 'mobile']",0.0,0.0,,,,
7812,Full-time,None,QA/Test Developer,None,None,None,None,None,"Chicago,IL",['qa'],0.0,0.0,,,,
7813,Full-time,Senior,"Backend Developer, DevOps","Big Data, Machine Learning, Software Development / Engineering",201–500 people,Private,None,None,"CidadeMonções,Brazil","['go', 'amazon-web-services', 'google-cloud-platform', 'apm', 'kubernetes']",0.0,0.0,,,,
7815,Internship,Student,Embedded Developer,"Embedded, Software Consulting, Software Development / Engineering",11–50 people,Private,None,None,"Berlin,Deutschland","['embedded-linux', 'c++', 'qt', 'open-source', 'embedded']",0.0,0.0,,,,
7816,Full-time,"Mid-Level, Senior",Database Administrator,"Cloud Computing, Data & Analytics, Security",51–200 people,Private,None,None,"Richmond,VA","['amazon-web-services', 'etl', 'data-modeling', 'data-structures', 'database-design']",0.0,0.0,,,,
7817,Full-time,Senior,"Backend Developer, Full Stack Developer",None,None,None,None,Remote,"Tempe,AZ",[],0.0,0.0,,,,
7818,Full-time,None,Product Manager,"Agile Software Development, Content Marketing, Web Technology",1k–5k people,Public,None,None,"Cambridge,MA","['project-management', 'design', 'amazon-web-services']",0.0,0.0,,,,
7820,Full-time,"Mid-Level, Senior","Backend Developer, Frontend Developer",SaaS,1–10 people,VC Funded,€50k - 130k (Euros),On-siteandlimitedremote,"Paris,France",[],50000.0,130000.0,€,50000.0,130000.0,
7822,Full-time,None,Frontend Developer,None,None,None,None,None,"Mumbai,India","['html', 'html5', 'security']",0.0,0.0,,,,
7823,Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['android', 'reactjs', 'java']",0.0,0.0,,,,
7825,Full-time,None,Mobile Developer,None,None,None,None,None,"Maebashi,Japan","['java', 'objective-c', 'swift']",0.0,0.0,,,,
7827,Full-time,"Mid-Level, Senior","DevOps, Full Stack Developer",Artificial Intelligence,11–50 people,Private,€60 - 75 (Euros),On-siteandlimitedremote,"GarchingbeiMünchen,Deutschland",[],60.0,75.0,€,60.0,75.0,
7831,Full-time,"Mid-Level, Senior",Mobile Developer,"eCommerce, Food & Beverage, Retail",51–200 people,Private,€45k - 75k (Euros),None,"Berlin,Germany","['android', 'flutter', 'kotlin', 'mobile', 'mvvm']",45000.0,75000.0,€,45000.0,75000.0,
7833,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['objective-c', 'php', 'swift']",0.0,0.0,,,,
7834,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['java', 'spring', 'tomcat']",0.0,0.0,,,,
7836,Full-time,Lead,Graphics/Game Developer,"Computer Games, Entertainment, PC Games",201–500 people,Private,None,None,"London,UK","['c++', 'design', 'traversal']",0.0,0.0,,,,
7837,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['javascript', 'css', 'jquery']",0.0,0.0,,,,
7838,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'objective-c', 'cocoa-touch']",0.0,0.0,,,,
7840,Full-time,Senior,DevOps,Media,501–1k people,Private,None,None,"Zürich,Switzerland","['amazon-web-services', 'python', 'java', 'go', 'c']",0.0,0.0,,,,
7841,Full-time,None,Backend Developer,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['hadoop', 'java', 'python']",0.0,0.0,,,,
7842,Full-time,"Junior, Senior",System Administrator,"Big Data, Cloud Computing, IT Security",51–200 people,Private,None,None,"Berlin,Deutschland","['linux', 'zendesk', 'servicenow', 'sysadmin']",0.0,0.0,,,,
7843,Full-time,"Mid-Level, Senior",Full Stack Developer,"Online Travel, Travel & Tourism",201–500 people,None,None,None,"Vilnius,Lithuania","['wordpress', 'oop', 'php']",0.0,0.0,,,,
7846,Full-time,"Mid-Level, Senior",DevOps,None,None,None,None,None,"Budapest,Hungary","['node.js', 'amazon-web-services', 'google-cloud-platform', 'kubernetes', 'python', 'sysadmin']",0.0,0.0,,,,
7848,Full-time,"Senior, Lead",Backend Developer,"Enterprise Software, Financial Technology",1k–5k people,Public,None,On-siteandlimitedremote,"Warwick,UK",[],0.0,0.0,,,,
7858,Full-time,None,Backend Developer,None,None,None,None,None,"Noida,India","['php', 'go', 'node.js']",0.0,0.0,,,,
7860,Full-time,None,"Mobile Developer, Product Manager",None,None,None,None,None,"Ahmedabad,India","['mobile', 'ios', 'project-management']",0.0,0.0,,,,
7861,Full-time,"Mid-Level, Senior","Backend Developer, Product Manager, System Administrator","Restaurant, Software Development / Engineering, Technical Services",501–1k people,Public,None,None,"Plano,TX","['rest', 'saas', 'paas', 'content-management-system']",0.0,0.0,,,,
7862,Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'angularjs']",0.0,0.0,,,,
7863,Full-time,Senior,Frontend Developer,None,None,None,€55k - 65k (Euros),None,"Berlin,Germany","['javascript', 'reactjs', 'react-native', 'html', 'css']",55000.0,65000.0,€,55000.0,65000.0,
7865,Full-time,None,"Designer, Product Manager",Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['project-management', 'user-experience', 'design']",0.0,0.0,,,,
7866,Full-time,"Mid-Level, Senior",Data Scientist,"Big Data, DevOps, Software Development / Engineering",1k–5k people,Private,None,None,"Toronto,ON,Canada","['machine-learning', 'java', 'angularjs', 'python', 'databricks']",0.0,0.0,,,,
7867,Full-time,"Junior, Mid-Level, Senior",QA/Test Developer,"Cloud Computing, Information Technology, Software Development",1k–5k people,Private,None,None,"BrusselsHoofdstedelijkGewest,Belgium","['testing', 'sql', 'loadrunner', 'web-services']",0.0,0.0,,,,
7870,Full-time,"Mid-Level, Senior","Frontend Developer, Full Stack Developer","Network Monitoring Software, Software Development",201–500 people,Private,None,None,"Nürnberg,Deutschland","['cloud', 'node.js', 'python', 'amazon-web-services', 'vue.js']",0.0,0.0,,,,
7872,Full-time,None,Data Scientist,None,None,None,None,None,"SetagayaCity,Japan","['go', 'r', 'c#']",0.0,0.0,,,,
7877,Full-time,"Mid-Level, Senior",Frontend Developer,"Banking, Financial Technology, Logistics and Supply Chain",11–50 people,Private,None,Remote,Noofficelocation,"['javascript', 'node.js', 'mongodb', 'vue.js', 'storybook']",0.0,0.0,,,,
7878,Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['c++', 'android', 'mobile']",0.0,0.0,,,,
7881,Full-time,None,Frontend Developer,"Agile Software Development, Banking, IT Consulting",1k–5k people,Private,None,None,"Zürich,Switzerland","['agile', 'java', 'javascript']",0.0,0.0,,,,
7882,Contract,Mid-Level,Frontend Developer,"Information Technology, Life Sciences, Pharmaceuticals",11–50 people,Private,$113k - 118k (US Dollars),None,"NorthChicago,IL","['angularjs', '.net']",113000.0,118000.0,$,104629.62962962962,109259.25925925926,
7883,Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['java', 'spring', 'ajax']",0.0,0.0,,,,
7884,Full-time,None,System Administrator,None,None,None,None,None,"Osaka,Japan","['mysql', 'python']",0.0,0.0,,,,
7887,Full-time,None,System Administrator,None,None,None,None,None,"MinatoCity,Japan","['amazon-web-services', 'github', 'ruby']",0.0,0.0,,,,
7891,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['javascript', 'reactjs', 'angularjs']",0.0,0.0,,,,
7892,Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Enterprise Software, Project Management, Software Development",501–1k people,Private,None,None,"SanFrancisco,CA","['android', 'java', 'mobile', 'kotlin']",0.0,0.0,,,,
7893,Full-time,"Mid-Level, Senior","DevOps, System Administrator","Big Data, Data & Analytics, Fashion",11–50 people,VC Funded,€36k - 46k (Euros),On-siteandlimitedremote,"Madrid,Spain",[],36000.0,46000.0,€,36000.0,46000.0,
7895,Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Information Technology, Software Development, Web Development",201–500 people,Private,None,On-siteandlimitedremote,"Vilvoorde,Belgium",[],0.0,0.0,,,,
7903,Full-time,"Senior, Lead, Manager",Full Stack Developer,"Data Science, Logistics and Supply Chain, Simulation Software",11–50 people,Private,$50k - 70k (US Dollars),Remote,Noofficelocation,[],50000.0,70000.0,$,46296.29629629629,64814.81481481481,
7906,Full-time,None,Backend Developer,None,None,None,None,None,"Mumbai,India","['php', 'laravel', 'web-services']",0.0,0.0,,,,
7907,Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['java', 'javascript', 'sql']",0.0,0.0,,,,
7909,Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['linux', 'python']",0.0,0.0,,,,
7915,Full-time,"Mid-Level, Senior, Lead",Data Scientist,"Enterprise Software, Tourism, Travel & Tourism",51–200 people,Private,None,Remote,"Cincinnati,OH",[],0.0,0.0,,,,
7916,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['jquery', 'wordpress', 'ajax']",0.0,0.0,,,,
7917,Full-time,Senior,Frontend Developer,"Financial Services, Financial Technology",51–200 people,Private,None,None,"München,Deutschland","['javascript', 'html', 'css', 'vue.js', 'rest']",0.0,0.0,,,,
7918,Full-time,Senior,Data Scientist,"Cloud Services, Software Development / Engineering, Web Development",201–500 people,Private,£0 - 0 (British Pounds),None,"Gurugram,India","['python', 'amazon-web-services', 'machinelearning']",0.0,0.0,£,0.0,0.0,
7919,Full-time,None,Frontend Developer,None,None,None,None,None,"ChiyodaCity,Japan","['javascript', 'sass', 'css']",0.0,0.0,,,,
7920,Full-time,"Mid-Level, Senior, Lead",Data Scientist,"IT Consulting, Software Development, Web Development",1k–5k people,Private,None,None,"CreveCoeur,MO","['apache-spark', 'r', 'hadoop', 'bash', 'azure']",0.0,0.0,,,,
7922,Full-time,None,Frontend Developer,None,None,None,None,None,"Surat,India","['wordpress', 'jquery', 'php']",0.0,0.0,,,,
7924,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['css', 'css3', 'html5']",0.0,0.0,,,,
7925,Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['php', 'mysql', 'wordpress']",0.0,0.0,,,,
7930,Full-time,"Mid-Level, Senior",Backend Developer,Adserver,51–200 people,VC Funded,None,None,"SanFrancisco,CA","['scala', 'amazon-web-services', 'lambda', 'microservices', 'distributed-system']",0.0,0.0,,,,
7935,Full-time,None,DevOps,None,None,None,None,None,"MinatoCity,Japan","['postgresql', 'hadoop', 'chef']",0.0,0.0,,,,
7940,Full-time,Mid-Level,System Administrator,"Electronics, Manufacturing, Software Development / Engineering",5k–10k people,Private,None,On-siteandlimitedremote,"Dornbirn,Austria",[],0.0,0.0,,,,
7943,Full-time,"Mid-Level, Senior, Lead","DevOps, System Administrator","Cloud Services, Information Technology",10k+ people,Public,None,None,"PetahTikva,Israel","['amazon-web-services', 'python', 'node.js', 'powershell', 'linux', 'sysadmin']",0.0,0.0,,,,
7944,Full-time,None,"Embedded Developer, System Administrator",None,None,None,None,None,"Bengaluru,India","['c', 'c++', 'networking']",0.0,0.0,,,,
7945,Full-time,Senior,Frontend Developer,"Blockchain, Computer Games",11–50 people,VC Funded,A$130k - 160k (Australian Dollars),None,"SurryHills,Australia","['sdk', 'angularjs', 'angular', 'ethereum', 'typescript']",130000.0,160000.0,A$,72222.22222222222,88888.88888888889,
7948,Full-time,Senior,Full Stack Developer,None,None,None,None,None,"Denver,CO","['reactjs', 'javascript', 'java', 'python', 'php']",0.0,0.0,,,,
7950,Full-time,"Mid-Level, Senior",Mobile Developer,"Entertainment, Information Technology, Music",201–500 people,Private,None,None,"Montreal,QC,Canada","['ios', 'objective-c', 'swift', 'kotlin', 'avfoundation']",0.0,0.0,,,,
7951,Full-time,"Senior, Lead",System Administrator,"Big Data, Data & Analytics, Internet of Things",11–50 people,Private,$150k - 175k (US Dollars),Remote,Noofficelocation,"['cloud', 'python', 'sql', 'networking', 'tcp']",150000.0,175000.0,$,138888.88888888888,162037.03703703702,
7958,Full-time,"Mid-Level, Senior",Data Scientist,"Biomechanics, Data & Analytics, Sports",11–50 people,Private,None,None,"Houston,TX","['r', 'stan', 'python', 'mcmc', 'bayesian']",0.0,0.0,,,,
7959,Full-time,"Mid-Level, Senior, Lead","Frontend Developer, Full Stack Developer","Events, Ticketing",11–50 people,Private,None,None,"München,Germany","['laravel', 'php', 'javascript', 'vue.js', 'angularjs']",0.0,0.0,,,,
7961,Full-time,"Mid-Level, Senior","Embedded Developer, Mobile Developer, System Administrator","Agile Software Development, Artificial Intelligence, Medical Devices",10k+ people,Public,$90k - 130k (US Dollars),None,"LosAngeles,CA","['c', 'embedded', 'objective-c', 'threadx', 'sysadmin']",90000.0,130000.0,$,83333.33333333333,120370.37037037036,
7964,Full-time,None,Mobile Developer,None,None,None,None,None,"Osaka,Japan","['go', 'cloud', 'android']",0.0,0.0,,,,
7965,Full-time,"Mid-Level, Senior",Full Stack Developer,"DevOps, Recruiting, Software Development / Engineering",11–50 people,Private,$110k - 170k (US Dollars),None,"Chicago,IL","['reactjs', 'ruby-on-rails', 'ruby', 'typescript', 'postgresql']",110000.0,170000.0,$,101851.85185185184,157407.4074074074,
7969,Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['angularjs', 'user-interface', 'agile']",0.0,0.0,,,,
7970,Full-time,None,Mobile Developer,None,None,None,None,None,"Chandigarh,India","['ios', 'objective-c', 'swift']",0.0,0.0,,,,
7971,Full-time,None,Data Scientist,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['python', 'r']",0.0,0.0,,,,
