"Company Name","Industry","Employment Type","Seniority Level","Company Location","position","Job Functions"
"Powiatowy Urząd Pracy Skierniewicach","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Skierniewice, PL","APARATOWY","Other",
"Powiatowy Urząd Pracy Skierniewicach","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Skierniewice, PL","APARATOWY","Other",
"Sąd Rejonowy w Krośnie Odrzańskim","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Krosno Odrzańskie, PL","Plan postępowań o udzielenie zamówień na 2018 rok powyżej 30 000 euro","Other",
"Sąd Rejonowy w Krośnie Odrzańskim","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Krosno Odrzańskie, PL","Plan postępowań o udzielenie zamówień na 2018 rok powyżej 30 000 euro","Other",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Performance Analyst","Business Development Sales",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Performance Analyst","Business Development Sales",
"Moto Budrex Sp. z o.o.","Banking Financial Services Investment Management","Full-time","Associate","Chojnice, PL","Wulkanizator","Other",
"Moto Budrex Sp. z o.o.","Banking Financial Services Investment Management","Full-time","Associate","Chojnice, PL","Wulkanizator","Other",
"ODIN CONNECT Sp. z o.o.","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Laminiarz Norwegia","Other",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Entry level","Wrocław, PL","ASTEK Polska: Tester Webowy","Engineering Information Technology",
"FUNGHI-POL Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Studzienice, PL","obieraczka pieczarek","Other",
"Wirginia Szymańska","Information Technology & Services Computer Software Internet","Full-time","Associate","Wrocław, PL","Model Risk Analyst","Finance Sales",
""MAGROL PRZEŁADUNEK" SP. Z O.O.","Information Technology & Services Computer Software Internet","Full-time","Associate","Gdańsk, PL","Spichrzowy","Other",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Corporate Actions Junior Specialist","Finance Sales",
"Paris Tobacco","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Full-time","Associate","Radom, PL","Automatyk","Other",
"Paris Tobacco","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Full-time","Associate","Radom, PL","Automatyk","Other",
"Paris Tobacco","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Full-time","Associate","Radom, PL","Automatyk","Other",
"AARSH International Foodstuff Trading LLC","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Part-time","Associate","Radom, PL","Virtual Assistant","Other",
"AARSH International Foodstuff Trading LLC","Electrical & Electronic Manufacturing Information Technology & Services Consumer Goods","Part-time","Associate","Radom, PL","Virtual Assistant","Other",
"Mindbox","Information Technology & Services Computer Software Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Junior Manual Tester Mindbox","Quality Assurance",
"Takeaway. com","Information Technology & Services Computer Software Hospital & Health Care","Full-time","Entry level","Reda, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Computer Software Hospital & Health Care","Full-time","Entry level","Reda, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Computer Software Hospital & Health Care","Full-time","Entry level","Rumia, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdynia","Other",
"TAP.TALENT","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Wrocław, PL","Management Board Assistant","Administrative",
"TAP.TALENT","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Wrocław, PL","Management Board Assistant","Administrative",
"Falck Medycyna Sp. z o.o.","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Opole, PL","Osoba sprzątająca","Other",
"Falck Medycyna Sp. z o.o.","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Opole, PL","Osoba sprzątająca","Other",
"Amatech","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Płock, PL","Programisty","Other",
"Amatech","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Płock, PL","Programisty","Other",
"PaveksBud Sp. z o.o.","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Gdańsk, PL","Zatrudnię Monterów","Other",
"PaveksBud Sp. z o.o.","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Gdańsk, PL","Zatrudnię Monterów","Other",
"Delikatesy Centrum","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Trzebownisko, PL","Zatrudnię","Other",
"Gabinet Kosmetyczny NEMEZIS Barbara Jakubowska","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Gdańsk, PL","Manicurzystka","Other",
"Gabinet Kosmetyczny NEMEZIS Barbara Jakubowska","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Gdańsk, PL","Manicurzystka","Other",
"Takeaway. com","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Warszawa","Other",
"Takeaway. com","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Ząbki, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Warszawa","Other",
"Przedsiębiorstwo Handlowo Usługowe "Andbud"","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Gdańsk, PL","Zbrojarz","Other",
"Powiatowy Urząd Pracy Łodzi ul. Milionowa","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Łódź, PL","Czynności produkcyjne","Other",
""SE-DA" Sp. z o.o.","Staffing & Recruiting Retail Transportation/Trucking/Railroad","Full-time","Entry level","Lidzbark, PL","SZWACZKA MASZYNOWA","Other",
"Talentuno Poland","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Warsaw, PL","Data Analyst","Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Specialist in Dealing Department","Business Development Sales",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Świetlica","Other",
"Kuratorium Oświaty w Krakowie","Banking Financial Services Investment Management","Full-time","Entry level","Kraków, PL","Świetlica","Other",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Specialist in Reporting Team","Business Development Sales",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Specialist in Reporting Team","Business Development Sales",
"Turner & Townsend","Construction Management Consulting Financial Services","Full-time","Entry level","Kraków, PL","Office Assistant / Secretary (m/f)","Administrative",
"Turner & Townsend","Construction Management Consulting Financial Services","Full-time","Entry level","Kraków, PL","Office Assistant / Secretary (m/f)","Administrative",
"innogy Polska","Internet Insurance Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Administrator Aplikacji @ Innogy Polska","Information Technology",
"innogy Polska","Internet Insurance Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Administrator Aplikacji @ Innogy Polska","Information Technology",
"Takeaway. com","Internet Insurance Hospital & Health Care","Full-time","Entry level","Piastów, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Internet Insurance Hospital & Health Care","Full-time","Entry level","Piastów, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Internet Insurance Hospital & Health Care","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Warszawa","Other",
"PowerJobs Sp. z o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Warząchewka Polska, PL","Komisjoner","Other",
"PowerJobs Sp. z o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Warząchewka Polska, PL","Komisjoner","Other",
"Takeaway. com","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Ząbki, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Piastów, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Warszawa","Other",
"REKRUTACJA","Information Technology & Services Insurance Accounting","Full-time","Entry level","Ursynów, PL","Magazynier / realizacja zamówień internetowych","Sales Business Development",
"IMPET PROFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Information Technology & Services Insurance Accounting","Full-time","Entry level","Lublin, PL","Zbrojarz","Other",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Associate","Gdynia, PL","ASTEK Polska: Business Analyst","Business Development Sales",
"f.u.piotr","Information Technology & Services Computer Software Internet","Full-time","Associate","Zawiercie, PL","praca","Other",
"f.u.piotr","Information Technology & Services Computer Software Internet","Full-time","Associate","Zawiercie, PL","praca","Other",
"f.u.piotr","Information Technology & Services Computer Software Internet","Full-time","Associate","Zawiercie, PL","praca","Other",
"Powiatowy Urząd Pracy Słupcy","Information Technology & Services Computer Software Internet","Full-time","Associate","Strzałkowo, PL","Szpachlarz","Other",
"Powiatowy Urząd Pracy Słupcy","Information Technology & Services Computer Software Internet","Full-time","Associate","Strzałkowo, PL","Szpachlarz","Other",
"SHIMI Sp. z o.o.","Information Technology & Services Computer Software Internet","Contract","Entry level","Warsaw, PL","System Analyst","Information Technology",
"SHIMI Sp. z o.o.","Information Technology & Services Computer Software Internet","Contract","Entry level","Warsaw, PL","System Analyst","Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Settlement Specialist","Finance Sales",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Settlement Specialist","Finance Sales",
"Formel Beata Gieroń","Banking Financial Services Investment Management","Full-time","Entry level","Kożuchów, PL","SZUKAM OPIEKUNKI","Other",
"Formel Beata Gieroń","Banking Financial Services Investment Management","Full-time","Entry level","Kożuchów, PL","SZUKAM OPIEKUNKI","Other",
"Instytut Hematologii i Transfuzjologii","Medical Practice","Full-time","Entry level","Warsaw, PL","Salowa","Other",
"Instytut Hematologii i Transfuzjologii","Medical Practice","Full-time","Entry level","Warsaw, PL","Salowa","Other",
"VIENNA HOUSE ANDEL’S ŁÓDŹ","Real Estate Leisure, Travel & Tourism Hospitality","Full-time","Entry level","Łódź, PL","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kucharz (K/M)","Other",
"VIENNA HOUSE ANDEL’S ŁÓDŹ","Real Estate Leisure, Travel & Tourism Hospitality","Full-time","Entry level","Łódź, PL","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kucharz (K/M)","Other",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Specialist in Asset Creation team","Business Development Sales",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Specialist in Asset Creation team","Business Development Sales",
"innogy Polska","Internet Insurance Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Administrator Aplikacji Innogy Polska","Information Technology",
"patryk","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Ursynów, PL","Praca praca","Other",
"patryk","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Ursynów, PL","Praca praca","Other",
"PowerJobs Sp. z o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Warząchewka Polska, PL","Komisjoner","Other",
"Inwedo Sp. z o. o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Łódź, PL","Junior Back-End Developer","Engineering Information Technology",
"ODIN CONNECT Sp. z o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Warsaw, PL","Laminiarz Norwegia","Other",
"MARCIN MARSZAŁEK PRZEDSIĘBIORSTWO DROGOWE "DROMAR BIS"","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Wronki, PL","Brukarz","Other",
"Takeaway. com","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Sopot, PL","Takeaway. com: Dostarczaj Z Jedzenia Gdansk","Other",
"Takeaway. com","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Dostarczaj Z Jedzenia Gdansk","Other",
"WMWORK SP. Z O.O","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Jelenia Góra, PL","kucharz","Management Manufacturing",
"KUBO","Information Technology & Services Computer & Network Security Management Consulting","Full-time","Entry level","Kraków, PL","Monitoring Lead","Information Technology",
"KUBO","Information Technology & Services Computer & Network Security Management Consulting","Full-time","Entry level","Kraków, PL","Monitoring Lead","Information Technology",
"DDB Warszawa Sp z o.o.","Information Technology & Services Computer & Network Security Management Consulting","Full-time","Director","Warsaw, PL","Chief Project Manager","Project Management Information Technology",
"DDB Warszawa Sp z o.o.","Information Technology & Services Computer & Network Security Management Consulting","Full-time","Director","Warsaw, PL","Chief Project Manager","Project Management Information Technology",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"GRH Polska","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Rzeszów, PL","Process technologist","Management Manufacturing",
"GRH Polska","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Rzeszów, PL","Process technologist","Management Manufacturing",
"Usługi elektryczne","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Sława, PL","Zatrudnię murarza","Other",
"Usługi elektryczne","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Sława, PL","Zatrudnię murarza","Other",
"P.P.H.U. " REMI", Mąchocice Kapitulne 91, Masłów","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Mąchocice, PL","SZWACZKA","Other",
"P.P.H.U. " REMI", Mąchocice Kapitulne 91, Masłów","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Associate","Mąchocice, PL","SZWACZKA","Other",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Cyclad Sp. z o.o.","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Takeaway. com","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Rumia, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Reda, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Sopot, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdansk","Other",
"Takeaway. com","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdansk","Other",
"Odlewnia Żeliwa ŻANETA Tomasz Nowakowski","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Sędziszów, PL","ZALEWACZ FORM","Other",
"Brukarz Jacek","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Grodzisk Mazowiecki, PL","Zatrudnie Brukarza","Other",
"Nordea Bank Abp SA Oddział w Polsce","Financial Services","Full-time","Entry level","Łódź, PL","Junior Process Officer","Management Manufacturing",
"Warwick GmbH & Co.Music Equipment KG","Computer Hardware Computer Networking Computer & Network Security","Full-time","Associate","Goleniów, PL","System Administrator","Information Technology",
"HRO Digital","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Kraków, PL","Business Analyst","Business Development Sales",
"Takeaway. com","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Gdynia, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Gdynia, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Rumia, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdynia","Other",
"EuropaJOB Sp. z o.o.","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Kraków, PL","Opiekunka do Pani, Niemcy, Kassel, od zaraz na 2 msc. 1500 euro + premia","Other",
"EuropaJOB Sp. z o.o.","Staffing & Recruiting Human Resources Insurance","Full-time","Associate","Kraków, PL","Opiekunka do Pani, Niemcy, Kassel, od zaraz na 2 msc. 1500 euro + premia","Other",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Graduate Programme in Fund Industry","Research Analyst Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Graduate Programme in Fund Industry","Research Analyst Information Technology",
"Gminne Służby Techniczne i Komunalne","Banking Financial Services Investment Management","Full-time","Entry level","Biesiekierz, PL","stanowisko referent","Business Development Sales",
"Gminne Służby Techniczne i Komunalne","Banking Financial Services Investment Management","Full-time","Entry level","Biesiekierz, PL","stanowisko referent","Business Development Sales",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Ząbki, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Other",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Other",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Warszawa","Other",
"McKinsey & Company","Information Technology & Services Management Consulting Financial Services","Full-time","Entry level","Wrocław, PL","Data Analyst @ Mckinsey & Company","Information Technology",
"McKinsey & Company","Information Technology & Services Management Consulting Financial Services","Full-time","Entry level","Wrocław, PL","Data Analyst @ Mckinsey & Company","Information Technology",
"„ROKAM II" RADOSŁAW ROSIŃSKI KOŹMICE 14, 57-200 ZĄBKOWICE ŚLĄSKIE","Information Technology & Services Management Consulting Financial Services","Full-time","Entry level","Kożmice Małe, PL","BRUKARZ","Other",
"„ROKAM II" RADOSŁAW ROSIŃSKI KOŹMICE 14, 57-200 ZĄBKOWICE ŚLĄSKIE","Information Technology & Services Management Consulting Financial Services","Full-time","Entry level","Kożmice Małe, PL","BRUKARZ","Other",
"Diehl","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Wrocław, PL","Project Manager","Project Management Information Technology",
"Diehl","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Wrocław, PL","Project Manager","Project Management Information Technology",
"Kuratorium Oświaty w Krakowie","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"ANWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Kędzierzyn-Koźle, PL","KUCHARZ","Management Manufacturing",
"CGI","Information Technology & Services Computer Software Staffing & Recruiting","Contract","Associate","Olsztyn, PL","Deployment Consultant","Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Junior Reconciliation Specialist","Accounting/Auditing Finance",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Boleszyn, PL","ZOOTECHNIK","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Lublin, PL","BRUKARZ","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Łozienica, PL","SZKUTNIK","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Lublin, PL","ŻAŁOBNIK","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Lublin, PL","ŻAŁOBNIK","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Wola, PL","SZWACZKA","Other",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Wola, PL","SZWACZKA","Other",
"HUGO.legal","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Customer Support Specialist","Customer Service Information Technology",
"HUGO.legal","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Customer Support Specialist","Customer Service Information Technology",
"Beskidzki Zespół Leczniczo-Rehabilitacyjny","Banking Financial Services Investment Management","Full-time","Entry level","Jaworze, PL","Salowa","Other",
"Beskidzki Zespół Leczniczo-Rehabilitacyjny","Banking Financial Services Investment Management","Full-time","Entry level","Jaworze, PL","Salowa","Other",
"Mercedes Benz","Electrical & Electronic Manufacturing Automotive Mechanical Or Industrial Engineering","Internship","Entry level","Legnica, PL","Junior Production Engineer/ Production Engineer - internal recruitment","Management Manufacturing",
"Wabtec","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Kąty Wrocławskie, PL","Warehouse worker","Management Manufacturing",
"Wabtec","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Kąty Wrocławskie, PL","Warehouse worker","Management Manufacturing",
"Takeaway. com","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Gdynia, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Gdynia, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Rumia, PL","Takeaway. com: Praca W Weekendy - Dostawa Jedzenia Gdynia","Other",
"Takeaway.com","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Witomino, PL","Praca w weekendy - Dostarczaj z jedzenia Gdynia","Other",
"Takeaway.com","Information Technology & Services Logistics & Supply Chain Transportation/Trucking/Railroad","Full-time","Entry level","Witomino, PL","Praca w weekendy - Dostarczaj z jedzenia Gdynia","Other",
"TAP.TALENT","Staffing & Recruiting Law Practice Financial Services","Full-time","Entry level","Wrocław, PL","Technical Support Coordinator","Information Technology",
"TAP.TALENT","Staffing & Recruiting Law Practice Financial Services","Full-time","Entry level","Wrocław, PL","Technical Support Coordinator","Information Technology",
"Moltton Poland","Management Consulting","Full-time","Associate","Chorzów, PL","Documentation Manager","Engineering",
"British American Tobacco","Information Technology & Services Computer Software Financial Services","Full-time","Associate","Warsaw, PL","British American Tobacco: Devops Manager","Other",
"BAŁD-RWIK Sp. z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Banino, PL","Hydraulik","Management Manufacturing",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Pricing Specialist","Management Manufacturing",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Pricing Specialist","Management Manufacturing",
"lento.pl","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Wrocław, PL","Opieka nad starszą Panią Wrocław","Other",
"Walter-Fach-Kraft","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Wrocław, PL","Rekruter/ka start zaraz we Wrocławiu","Human Resources",
"Garbarnia Szczakowa S.A.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Jaworzno, PL","Automatyk - elektronik","Other",
"Garbarnia Szczakowa S.A.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Jaworzno, PL","Automatyk - elektronik","Other",
"KRAKEN BITCOIN EXCHANGE","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Compliance Research Associate","Finance Sales",
"KRAKEN BITCOIN EXCHANGE","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Compliance Research Associate","Finance Sales",
"SCS Expert Sp. zo.o.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Data Analyst","Information Technology",
"Takeaway. com","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Sopot, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdansk","Other",
"Takeaway. com","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Praca Na Zmiany - Dostawa Jedzenia Gdansk","Other",
"Softwarely","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Data Scientist","Engineering Information Technology",
"Softwarely","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Data Scientist","Engineering Information Technology",
"Business Development Partner","Information Technology & Services Computer Software Automotive","Full-time","Entry level","Bielsko-Biala, PL","Junior Technical Support","Information Technology",
"Business Development Partner","Information Technology & Services Computer Software Automotive","Full-time","Entry level","Bielsko-Biala, PL","Junior Technical Support","Information Technology",
"Talentuno Poland","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Gdańsk, PL","Data Scientist","Engineering Information Technology",
"Vintal","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Tarnowskie Góry, PL","Twoja propozycja","Other",
"Vintal","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Tarnowskie Góry, PL","Twoja propozycja","Other",
